"CombPer","Cap","IWB","ODB","TotCap","Power"
130.0,63.7,14.0,10.0,43.0,7.46
130.0,63.7,14.0,12.0,43.0,7.6
130.0,63.7,14.0,14.0,43.0,7.74
130.0,63.7,14.0,16.0,43.0,7.89
130.0,63.7,14.0,18.0,43.0,8.04
130.0,63.7,14.0,20.0,43.0,8.2
130.0,63.7,14.0,21.0,43.0,8.43
130.0,63.7,14.0,23.0,43.0,9.03
130.0,63.7,14.0,25.0,43.0,9.66
130.0,63.7,14.0,27.0,43.0,10.32
130.0,63.7,14.0,29.0,43.0,11.0
130.0,63.7,14.0,31.0,43.0,11.7
130.0,63.7,14.0,33.0,43.0,12.5
130.0,63.7,14.0,35.0,43.0,13.3
130.0,63.7,14.0,37.0,43.0,14.2
130.0,63.7,14.0,39.0,43.0,15.1
130.0,63.7,16.0,10.0,51.3,9.13
130.0,63.7,16.0,12.0,51.3,9.3
130.0,63.7,16.0,14.0,51.3,9.48
130.0,63.7,16.0,16.0,51.3,9.67
130.0,63.7,16.0,18.0,51.3,9.86
130.0,63.7,16.0,20.0,51.3,10.5
130.0,63.7,16.0,21.0,51.3,10.9
130.0,63.7,16.0,23.0,51.3,11.7
130.0,63.7,16.0,25.0,51.3,12.5
130.0,63.7,16.0,27.0,51.3,13.4
130.0,63.7,16.0,29.0,51.3,14.3
130.0,63.7,16.0,31.0,51.0,15.1
130.0,63.7,16.0,33.0,50.2,15.7
130.0,63.7,16.0,35.0,49.4,16.3
130.0,63.7,16.0,37.0,48.6,16.8
130.0,63.7,16.0,39.0,47.8,17.4
130.0,63.7,18.0,10.0,59.6,10.9
130.0,63.7,18.0,12.0,59.6,11.1
130.0,63.7,18.0,14.0,59.3,11.2
130.0,63.7,18.0,16.0,58.5,11.1
130.0,63.7,18.0,18.0,57.8,11.6
130.0,63.7,18.0,20.0,57.0,12.1
130.0,63.7,18.0,21.0,56.6,12.4
130.0,63.7,18.0,23.0,55.8,13.0
130.0,63.7,18.0,25.0,55.0,13.6
130.0,63.7,18.0,27.0,54.2,14.1
130.0,63.7,18.0,29.0,53.4,14.7
130.0,63.7,18.0,31.0,52.6,15.3
130.0,63.7,18.0,33.0,51.8,15.9
130.0,63.7,18.0,35.0,51.0,16.4
130.0,63.7,18.0,37.0,50.2,17.0
130.0,63.7,18.0,39.0,49.4,17.6
130.0,63.7,19.0,10.0,61.7,11.1
130.0,63.7,19.0,12.0,60.9,11.0
130.0,63.7,19.0,14.0,60.1,11.0
130.0,63.7,19.0,16.0,59.3,11.1
130.0,63.7,19.0,18.0,58.5,11.6
130.0,63.7,19.0,20.0,57.7,12.2
130.0,63.7,19.0,21.0,57.3,12.5
130.0,63.7,19.0,23.0,56.5,13.1
130.0,63.7,19.0,25.0,55.7,13.6
130.0,63.7,19.0,27.0,54.9,14.2
130.0,63.7,19.0,29.0,54.1,14.8
130.0,63.7,19.0,31.0,53.3,15.4
130.0,63.7,19.0,33.0,52.5,15.9
130.0,63.7,19.0,35.0,51.8,16.5
130.0,63.7,19.0,37.0,51.0,17.1
130.0,63.7,19.0,39.0,50.2,17.7
130.0,63.7,20.0,10.0,62.5,10.9
130.0,63.7,20.0,12.0,61.7,10.8
130.0,63.7,20.0,14.0,60.9,10.7
130.0,63.7,20.0,16.0,60.1,11.1
130.0,63.7,20.0,18.0,59.3,11.7
130.0,63.7,20.0,20.0,58.5,12.3
130.0,63.7,20.0,21.0,58.1,12.5
130.0,63.7,20.0,23.0,57.3,13.1
130.0,63.7,20.0,25.0,56.5,13.7
130.0,63.7,20.0,27.0,55.7,14.3
130.0,63.7,20.0,29.0,54.9,14.9
130.0,63.7,20.0,31.0,54.1,15.4
130.0,63.7,20.0,33.0,53.3,16.0
130.0,63.7,20.0,35.0,52.5,16.6
130.0,63.7,20.0,37.0,51.7,17.2
130.0,63.7,20.0,39.0,50.9,17.8
130.0,63.7,22.0,10.0,64.0,10.41
130.0,63.7,22.0,12.0,63.2,10.34
130.0,63.7,22.0,14.0,62.4,10.7
130.0,63.7,22.0,16.0,61.6,11.2
130.0,63.7,22.0,18.0,60.9,11.8
130.0,63.7,22.0,20.0,60.1,12.4
130.0,63.7,22.0,21.0,59.7,12.7
130.0,63.7,22.0,23.0,58.9,13.3
130.0,63.7,22.0,25.0,58.1,13.8
130.0,63.7,22.0,27.0,57.3,14.4
130.0,63.7,22.0,29.0,56.5,15.0
130.0,63.7,22.0,31.0,55.7,15.6
130.0,63.7,22.0,33.0,54.9,16.2
130.0,63.7,22.0,35.0,54.1,16.8
130.0,63.7,22.0,37.0,53.3,17.4
130.0,63.7,22.0,39.0,52.5,18.0
130.0,63.7,24.0,10.0,65.6,9.94
130.0,63.7,24.0,12.0,64.8,10.18
130.0,63.7,24.0,14.0,64.0,10.8
130.0,63.7,24.0,16.0,63.2,11.3
130.0,63.7,24.0,18.0,62.4,11.9
130.0,63.7,24.0,20.0,61.6,12.5
130.0,63.7,24.0,21.0,61.2,12.8
130.0,63.7,24.0,23.0,60.4,13.4
130.0,63.7,24.0,25.0,59.6,14.0
130.0,63.7,24.0,27.0,58.8,14.6
130.0,63.7,24.0,29.0,58.0,15.2
130.0,63.7,24.0,31.0,57.2,15.8
130.0,63.7,24.0,33.0,56.4,16.4
130.0,63.7,24.0,35.0,55.6,17.0
130.0,63.7,24.0,37.0,54.8,17.6
130.0,63.7,24.0,39.0,54.0,18.2
120.0,58.8,14.0,10.0,39.7,6.82
120.0,58.8,14.0,12.0,39.7,6.94
120.0,58.8,14.0,14.0,39.7,7.07
120.0,58.8,14.0,16.0,39.7,7.2
